Crazyflie name,QTM packet timestamp (s),x (m),y (m),z (m),yaw (°),vx (m/s),vy (m/s),vz (m/s),vx_c (m/s),vy_c (m/s),vz_c (m/s),roll_c (°),pitch_c (°),yaw_rate_c (°/s),thrust_c (PWM)
cf1,6945.88,0.8038383178710937,-0.7643709716796875,0.0030079708099365237,0.03606843203306198,-4.1198730467917335e-05,-1.52587890625e-05,-0.00021649599074844886,None,None,None,None,None,None,None
cf2,6945.88,-0.7173355102539063,-0.761179931640625,-0.004543564319610596,-0.054210346192121506,0.00032043457030417333,-0.00010681152343472444,-0.0010262846946492335,None,None,None,None,None,None,None
cf3,6945.88,-0.7098141479492187,0.7284589233398437,0.011013405799865723,0.037756629288196564,-0.0001892089843705591,0.0002822875976493111,0.0002947807311947274,None,None,None,None,None,None,None
cf4,6945.88,0.7984348754882813,0.7463477172851563,0.018449548721313477,-0.18421955406665802,0.0003479003906188938,7.171630859291734e-05,-0.0002653121948184421,None,None,None,None,None,None,None
cf1,6945.92,0.8038393554687501,-0.7643604125976563,0.003002532958984375,0.038611218333244324,2.5939941408782696e-05,0.00026397705077975815,-0.00013594627380383997,None,None,None,None,None,None,None
cf2,6945.92,-0.717367431640625,-0.761161376953125,-0.0044611053466796875,-0.053907737135887146,-0.0007980346679682989,0.0004638671875005551,0.002061474323274581,None,None,None,None,None,None,None
cf3,6945.92,-0.7098216552734375,0.7284634399414063,0.011006033897399903,0.04024221748113632,-0.00018768310547107454,0.00011291503906340206,-0.00018429756164566502,None,None,None,None,None,None,None
cf4,6945.92,0.7984405517578125,0.7463672485351562,0.018443252563476564,-0.18422435224056244,0.00014190673827975815,0.00048828125,-0.00015740394592296975,None,None,None,None,None,None,None
cf1,6945.96,0.803844970703125,-0.76435791015625,0.003042154788970947,0.038611218333244324,0.00014038085937319588,6.256103515795002e-05,0.0009905457496652058,None,None,None,None,None,None,None
cf2,6945.96,-0.7173145751953125,-0.761167724609375,-0.00452186918258667,-0.057049866765737534,0.0013214111328136795,-0.00015869140624916734,-0.0015190958976759482,None,None,None,None,None,None,None
cf3,6945.96,-0.7098255615234376,0.7284530639648438,0.011048751831054688,0.04024221748113632,-9.765625000055512e-05,-0.00025939941406284694,0.0010679483413705922,None,None,None,None,None,None,None
cf4,6945.96,0.798441650390625,0.7463455200195312,0.018471227645874024,-0.18838778138160706,2.746582031256939e-05,-0.0005432128906251388,0.0006993770599371339,None,None,None,None,None,None,None
cf1,6946.0,0.8039623413085938,-0.764318115234375,0.0031819329261779787,0.04311786964535713,0.0029342651367224625,0.0009948730468759715,0.0034944534301789643,None,None,None,None,None,None,None
cf2,6946.0,-0.717328857421875,-0.7612774047851563,-0.004223584651947021,0.04182618111371994,-0.00035705566406340203,-0.0027420043945344764,0.007457113265998001,None,None,None,None,None,None,None
cf3,6946.0,-0.7098461303710938,0.7284832763671875,0.011147946357727052,0.04279204457998276,-0.0005142211914060072,0.0007553100585928826,0.0024798631668113574,None,None,None,None,None,None,None
cf4,6946.0,0.798422607421875,0.7463490600585938,0.01856591796875,-0.22002358734607697,-0.00047607421875027754,8.850097656395717e-05,0.002367258071901588,None,None,None,None,None,None,None
cf1,6946.04,0.8041904296875,-0.7640938110351563,0.003662108421325684,0.0835953876376152,0.00570220947266017,0.00560760498047274,0.012004387378703548,None,None,None,None,None,None,None
cf2,6946.04,-0.7175771484375,-0.7613580322265625,-0.0021018879413604737,0.04182618111371994,-0.00620727539062958,-0.00201568603515795,0.053042417764711934,None,None,None,None,None,None,None
cf3,6946.04,-0.7100039672851562,0.7283798217773437,0.012055109977722168,0.10006619244813919,-0.003945922851565068,-0.002586364746095658,0.022679090499898545,None,None,None,None,None,None,None
cf4,6946.04,0.7984896240234375,0.7462332763671875,0.019263999938964844,-0.15029865503311157,0.0016754150390639571,-0.0028945922851601703,0.017452049255386928,None,None,None,None,None,None,None
cf1,6946.08,0.8044475097656251,-0.7636653442382813,0.006533147811889649,0.2821792960166931,0.00642700195313291,0.010711669921885408,0.0717759847641644,None,None,None,None,None,None,None
cf2,6946.08,-0.7182269287109375,-0.76145703125,0.0066070156097412115,0.34031543135643005,-0.01624450683595325,-0.002474975585938818,0.21772258877774014,None,None,None,None,None,None,None
cf3,6946.08,-0.709855224609375,0.7293994750976562,0.015335040092468262,-0.21601985394954681,0.0037185668945344764,0.025491333007835883,0.0819982528687269,None,None,None,None,None,None,None
cf4,6946.08,0.79887353515625,0.7456011352539063,0.022232772827148438,-0.15029865503311157,0.009597778320322561,-0.01580352783204558,0.07421932220465735,None,None,None,None,None,None,None
cf1,6946.12,0.8045343627929687,-0.763367919921875,0.014140811920166016,0.8385047912597656,0.002171325683593993,0.007435607910162391,0.19019160270708216,None,None,None,None,None,None,None
cf2,6946.12,-0.719642578125,-0.7611409912109375,0.024403953552246095,0.7640342712402344,-0.035391235351593935,0.007901000976569508,0.4449234485630268,None,None,None,None,None,None,None
cf3,6946.12,-0.7101481323242188,0.7318318481445313,0.024924577713012697,-0.40735363960266113,-0.007322692871101764,0.06080932617193148,0.23973844051382892,None,None,None,None,None,None,None
cf4,6946.12,0.7996298828125,0.7446678466796876,0.029578969955444335,0.24417655169963837,0.01890869140626693,-0.023332214355488837,0.18365492820756446,None,None,None,None,None,None,None
cf1,6946.16,0.8044898681640625,-0.7632486572265625,0.027563350677490234,0.8385047912597656,-0.0011123657226562848,0.00298156738281479,0.33556346893341066,None,None,None,None,None,None,None
